first_name,last_name,email,gender,value_x,value_y
Jerry,Cooper,jcooper0@webs.com,Male,64,57
Dorothy,Grant,dgrant1@salon.com,Female,35,4
Henry,Murphy,hmurphy2@freewebs.com,Male,96,18
Diana,Carr,dcarr3@imageshack.us,Female,54,35
Janice,Collins,jcollins4@bigcartel.com,Female,32,52
Henry,Dixon,hdixon5@reverbnation.com,Male,77,40
Christina,Hall,chall6@hexun.com,Female,49,37
Donald,Cunningham,dcunningham7@dion.ne.jp,Male,97,98
Carolyn,Collins,ccollins8@booking.com,Female,73,45
Marie,Porter,mporter9@istockphoto.com,Female,81,56
Harry,Spencer,hspencera@posterous.com,Male,59,27
Ryan,Johnston,rjohnstonb@imgur.com,Male,46,56
Wanda,Hart,whartc@independent.co.uk,Female,98,86
Brenda,Freeman,bfreemand@so-net.ne.jp,Female,61,95
Keith,Bailey,kbaileye@phoca.cz,Male,27,55
Harold,Sanders,hsandersf@desdev.cn,Male,7,71
Catherine,Watson,cwatsong@so-net.ne.jp,Female,10,66
George,Wallace,gwallaceh@ebay.com,Male,37,14
Jimmy,Bishop,jbishopi@posterous.com,Male,49,14
Joan,Schmidt,jschmidtj@google.pl,Female,45,57
Christine,Miller,cmillerk@google.ru,Female,48,90
Deborah,Wood,dwoodl@oracle.com,Female,59,10
Carol,Castillo,ccastillom@gmpg.org,Female,97,24
Billy,White,bwhiten@ebay.co.uk,Male,76,28
Billy,Gardner,bgardnero@posterous.com,Male,9,72
Diane,Hughes,dhughesp@archive.org,Female,29,20
Jennifer,Hicks,jhicksq@plala.or.jp,Female,58,90
Phillip,Ramirez,pramirezr@ifeng.com,Male,40,18
Theresa,Snyder,tsnyders@photobucket.com,Female,64,37
Anna,Hansen,ahansent@pcworld.com,Female,41,89
Kimberly,Peterson,kpetersonu@imdb.com,Female,99,22
George,Young,gyoungv@flavors.me,Male,54,31
Gloria,Murray,gmurrayw@sina.com.cn,Female,12,70
James,Medina,jmedinax@elegantthemes.com,Male,80,27
George,Bradley,gbradleyy@cmu.edu,Male,66,51
Louise,Wright,lwrightz@ed.gov,Female,61,25
Jason,Carroll,jcarroll10@census.gov,Male,52,97
Donna,Bryant,dbryant11@who.int,Female,7,63
Melissa,Hill,mhill12@timesonline.co.uk,Female,3,74
Joseph,Chapman,jchapman13@istockphoto.com,Male,67,15
Kathy,Day,kday14@rakuten.co.jp,Female,23,56
Todd,Frazier,tfrazier15@youtube.com,Male,31,73
Jesse,Ray,jray16@utexas.edu,Male,99,1
Louis,Banks,lbanks17@example.com,Male,54,2
Jacqueline,Wright,jwright18@guardian.co.uk,Female,11,10
Ronald,Rivera,rrivera19@vimeo.com,Male,36,35
Michelle,Hart,mhart1a@archive.org,Female,47,98
Lori,Alvarez,lalvarez1b@t-online.de,Female,27,28
Elizabeth,Ramos,eramos1c@noaa.gov,Female,45,89
Amanda,Montgomery,amontgomery1d@google.co.jp,Female,34,54
